index,Job Title,Location,Size,Founded,Type of ownership,Industry,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Python,hadoop,job_title_sim,Degree
544,Computational Chemist/Data Scientist,"Richland, WA",1001 - 5000 ,1965,Government,Energy,56,97,76.5,PNNL,WA,1,0,data scientist,P
545,Principal Data Scientist (Computational Chemistry),"Salt Lake City, UT",51 - 200 ,2013,Company   Private,Biotech & Pharmaceuticals,108,173,140.5,Recursion Pharmaceuticals,UT,1,0,data scientist,None
546,Data Scientist,"Jersey City, NJ",10000+ ,1812,Company   Public,Investment Banking & Asset Management,94,139,116.5,Citi,NJ,0,0,data scientist,None
548,Principal Machine Learning Scientist,"San Francisco, CA",501 - 1000 ,1999,Subsidiary or Business Segment,Computer Hardware & Software,176,289,232.5,Sage Intacct,CA,1,0,machine learning engineer,P
549,Data Scientist,"San Francisco, CA",51 - 200 ,2016,Company   Private,Enterprise Software & Network Solutions,92,149,120.5,Scale AI,CA,1,0,data scientist,P
550,Product Engineer – Data Science,"Arlington, VA",1001 - 5000 ,1969,Company   Private,Computer Hardware & Software,63,101,82,Esri,VA,1,0,data scientist,M
552,"Principal Scientist, Chemistry & Immunology","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,54,115,84.5,Rochester Regional Health,NY,0,0,other scientist,P
554,Data Scientist,"Emeryville, CA",10000+ ,2007,Company   Public,IT Services,118,188,153,Change Healthcare,CA,1,0,data scientist,P
555,Data Scientist,"Palo Alto, CA",501 - 1000 ,2008,Company   Private,Internet,108,146,127,MZ,CA,1,1,data scientist,M
556,Data Scientist,"Santa Barbara, CA",51 - 200 ,2010,Company   Private,Computer Hardware & Software,65,106,85.5,HG Insights,CA,1,1,data scientist,P
557,Data Scientist,"Carle Place, NY",1001 - 5000 ,1976,Company   Public,Wholesale,55,98,76.5,"1-800-FLOWERS.COM, Inc.",NY,1,0,data scientist,None
558,Data Scientist,"New York, NY",1001 - 5000 ,1992,Subsidiary or Business Segment,TV Broadcast & Cable Networks,94,162,128,CBS Interactive,NY,1,1,data scientist,None
561,"Scientist/Senior Scientist, Autoimmune","Cambridge, MA",201 - 500 ,2013,Company   Public,Biotech & Pharmaceuticals,90,179,134.5,Rubius Therapeutics,MA,0,0,other scientist,P
562,Data Scientist,"San Francisco, CA",201 - 500 ,2008,Company   Private,Advertising & Marketing,127,202,164.5,Samba TV,CA,0,0,data scientist,None
565,Market Data Analyst,"West Palm Beach, FL",201 - 500 ,1991,Company   Public,Telecommunications Manufacturing,31,57,44,SV Microwave,FL,0,0,analyst,M
566,Staff Data Engineer,"Austin, TX",501 - 1000 ,2010,Company   Private,Computer Hardware & Software,105,194,149.5,Sumo Logic,TX,0,0,data engineer,M
567,Associate Data Engineer,"Washington, DC",1001 - 5000 ,2007,Company   Private,Research & Development,45,86,65.5,EAB,DC,0,0,data engineer,M
570,Staff Data Engineer,"Mountain View, CA",1001 - 5000 ,1988,Subsidiary or Business Segment,Computer Hardware & Software,126,228,177,Samsung Research America,CA,1,1,data engineer,P
572,Data Scientist,"Arlington, VA",201 - 500 ,2010,Company   Private,Aerospace & Defense,80,134,107,Systems & Technology Research,VA,1,1,data scientist,P
573,Data Scientist,"Santa Clara, CA",501 - 1000 ,2012,Company   Private,Enterprise Software & Network Solutions,120,189,154.5,Netskope,CA,1,0,data scientist,P
576,Senior Data Scientist,"Charlotte, NC",1001 - 5000 ,2017,Company   Public,Insurance Carriers,95,154,124.5,Brighthouse Financial,NC,1,0,data scientist,M
579,Data Scientist,"Springfield, VA",10000+ ,1969,Company   Public,Aerospace & Defense,76,127,101.5,Leidos,VA,1,0,data scientist,M
580,"Data Analyst, Performance Partnership","New York, NY",10000+ ,1935,Subsidiary or Business Segment,Health Care Products Manufacturing,54,92,73,Beckman Coulter Diagnostics,NY,0,0,analyst,None
582,Data Scientist,"New York, NY",10000+ ,2016,Company   Public,Consulting,61,100,80.5,IHS Markit,NY,1,0,data scientist,M
585,Staff BI and Data Engineer,"San Jose, CA",51 - 200 ,1998,Company   Private,Advertising & Marketing,80,148,114,Affinity Solutions,CA,1,0,data engineer,M
588,Data Scientist,"New York, NY",201 - 500 ,2007,Company   Private,Lending,63,111,87,Biz2Credit Inc,NY,0,0,data scientist,None
589,Data Scientist,"Holyoke, MA",201 - 500 ,1885,Company   Private,Banks & Credit Unions,75,126,100.5,PeoplesBank,MA,0,0,data scientist,M
590,Data Scientist Manager,"New York, NY",10000+ ,1967,Company   Public,Enterprise Software & Network Solutions,110,184,147,Capgemini,NY,1,1,data scientist,M
591,Data Engineer,"New York, NY",201 - 500 ,1914,Company   Private,Insurance Carriers,76,145,110.5,GNY Insurance Companies,NY,1,0,data engineer,M
594,Marketing Data Analyst,"Exton, PA",501 - 1000 ,1937,Nonprofit Organization,Banks & Credit Unions,36,62,49,Citadel Federal Credit Union,PA,1,0,analyst,None
597,Senior Data Scientist,"New York, NY",1001 - 5000 ,1999,Company   Public,Enterprise Software & Network Solutions,94,153,123.5,Medidata Solutions,NY,1,0,data scientist,M
599,"Principal Scientist, Hematology","Rochester, NY",10000+ ,2014,Hospital,Health Care Services & Hospitals,54,115,84.5,Rochester Regional Health,NY,0,0,other scientist,P
600,Data Analyst,"Alexandria, VA",501 - 1000 ,1989,Company   Private,IT Services,50,92,71,CALIBRE Systems,VA,0,0,analyst,None
601,Software Data Engineer   College,"Corvallis, OR",10000+ ,1939,Company   Public,Computer Hardware & Software,49,97,73,HP Inc.,OR,0,0,data engineer,M
602,"Director   Data, Privacy and AI Governance","Boston, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,67,135,101,MassMutual,MA,0,0,director,None
603,Staff Machine Learning Engineer,"San Francisco, CA",201 - 500 ,2007,Company   Private,Internet,138,224,181,Tapjoy,CA,1,0,machine learning engineer,None
604,Data Scientist,"San Diego, CA",10000+ ,1939,Company   Public,Aerospace & Defense,80,139,109.5,Northrop Grumman,CA,0,0,data scientist,None
605,Lead Data Scientist,"Bellevue, WA",10000+ ,1958,Company   Public,IT Services,158,211,184.5,Visa Inc.,WA,1,0,data scientist,None
606,Senior Data Scientist   Algorithms,"New York, NY",201 - 500 ,2014,Company   Private,Enterprise Software & Network Solutions,150,180,165,Quartet Health,NY,1,1,data scientist,M
607,Information Security Data Analyst,"Chicago, IL",10000+ ,1928,Company   Public,Computer Hardware & Software,42,80,61,Motorola Solutions,IL,1,1,analyst,M
608,Lead Data Engineer,"Mountain View, CA",51 - 200 ,2010,Company   Private,Internet,190,220,205,Credit Sesame,CA,1,0,data engineer,None
609,Data Analyst,"New York, NY",1001 - 5000 ,2006,School / School District,K-12 Education,42,77,59.5,Success Academy Charter Schools,NY,1,0,analyst,None
610,Scientist Manufacturing   Kentucky BioProcessing,"Owensboro, KY",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,68,139,103.5,Reynolds American,KY,0,0,other scientist,None
613,Consultant   Analytics Consulting,"Hartford, CT",10000+ ,1981,Company   Public,IT Services,54,71,62.5,Infosys,CT,0,0,data analitics,None
614,Data Analytics Project Manager,"Springfield, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,34,92,63,MassMutual,MA,0,0,Data scientist project manager,M
617,Data Engineer,"Orange, CA",501 - 1000 ,2013,Company   Private,Health Care Services & Hospitals,65,124,94.5,Alignment Healthcare,CA,1,1,data engineer,M
619,Data Scientist,"New York, NY",51 - 200 ,2012,Company   Private,Education Training Services,56,95,75.5,ExecOnline,NY,1,1,data scientist,None
622,Machine Learning Engineer,"Fort Belvoir, VA",501 - 1000 ,1954,Company   Public,Aerospace & Defense,62,112,87,Mteq,VA,1,0,machine learning engineer,None
623,Senior Data Scientist Oncology,"Gaithersburg, MD",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,107,173,140,AstraZeneca,MD,1,0,data scientist,P
624,Data Scientist,"Silver Spring, MD",201 - 500 ,2006,Company   Private,IT Services,64,108,86,Brillient,MD,1,0,data scientist,M
627,Senior Scientist (Neuroscience),"Marlborough, MA",1001 - 5000 ,2010,Company   Private,Biotech & Pharmaceuticals,109,200,154.5,Sunovion,MA,1,0,other scientist,P
629,Machine Learning Engineer   Regulatory,"Lenexa, KS",501 - 1000 ,1973,Company   Public,Stock Exchanges,61,113,87,Cboe Global Markets,KS,1,1,machine learning engineer,None
630,Marketing Data Analyst,"Highland, CA",1001 - 5000 ,1986,Company   Private,Gambling,35,62,48.5,San Manuel Casino,CA,0,0,analyst,M
631,Data Engineer,"Houston, TX",501 - 1000 ,2002,Company   Private,IT Services,55,105,80,Trace3,TX,1,1,data engineer,None
632,Medical Laboratory Scientist,"Burleson, TX",1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,37,52,44.5,Texas Health Huguley Hospital,TX,0,0,other scientist,None
634,Principal Data Scientist,"San Jose, CA",10000+ ,1939,Company   Public,Aerospace & Defense,135,211,173,Northrop Grumman,CA,1,0,data scientist,M
635,Data Engineer,"Phoenix, AZ",501 - 1000 ,1997,Company   Private,Biotech & Pharmaceuticals,57,80,68.5,Saama Technologies Inc,AZ,1,0,data engineer,None
636,Data Scientist   Alpha Insights,"New York, NY",1001 - 5000 ,2001,Company   Private,Investment Banking & Asset Management,129,215,172,Two Sigma,NY,0,0,data scientist,P
637,"Data Scientist, Office of Data Science","Boston, MA",10000+ ,1912,Company   Private,Insurance Carriers,86,143,114.5,Liberty Mutual Insurance,MA,1,0,data scientist,None
638,"Associate Principal Scientist, Pharmacogenomics","Gaithersburg, MD",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,63,127,95,AstraZeneca,MD,0,0,other scientist,P
639,Data Scientist   Systems Engineering,"Bedford, MA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,50,89,69.5,MITRE,MA,1,0,data scientist,None
640,Data Engineer,"New York, NY",501 - 1000 ,2003,Company   Private,Research & Development,43,86,64.5,Guidepoint,NY,1,0,data engineer,None
643,Data Scientist,"New York, NY",501 - 1000 ,2007,Company   Private,Consumer Product Rental,71,124,97.5,Strategic Financial Solutions,NY,1,0,data scientist,None
644,"Associate Director, Platform and DevOps  Data Engineering and Aritifical Intelligence","Cambridge, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,113,196,154.5,Takeda Pharmaceuticals,MA,0,1,data engineer,M
645,Senior Research Scientist Machine Learning,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,81,167,124,Software Engineering Institute,PA,0,0,machine learning engineer,P
646,Data Scientist,"New York, NY",201 - 500 ,2011,Company   Private,Health Care Services & Hospitals,69,121,95,"Remedy BPCI Partners, LLC.",NY,1,0,data scientist,None
647,Senior Data Scientist,"Chicago, IL",201 - 500 ,2008,Company   Private,Consulting,97,160,128.5,Maven Wave Partners,IL,1,1,data scientist,None
648,Principal Data Scientist,"San Francisco, CA",501 - 1000 ,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,150,238,194,The Climate Corporation,CA,0,0,data scientist,None
651,Data Scientist,"New York, NY",201 - 500 ,2005,Company   Public,Advertising & Marketing,77,132,104.5,Crossix Solutions,NY,1,0,data scientist,M
