index,Job Title,Location,Size,Founded,Type of ownership,Industry,Lower Salary,Upper Salary,Avg Salary(K),company_txt,Job Location,Python,hadoop,job_title_sim,Degree
736,Sr Data Engineer (Sr BI Developer),"Chandler, AZ",501 - 1000 ,1981,Company   Public,Health Care Services & Hospitals,90,110,100,Tivity Health,AZ,0,1,data engineer,None
737,"Senior Data Scientist – Visualization, Novartis AI Innovation Lab","Cambridge, MA",10000+ ,1996,Company   Public,Biotech & Pharmaceuticals,92,150,121,Novartis,MA,0,0,data scientist,None
738,Senior Data Analyst/Scientist,"San Francisco, CA",201 - 500 ,2006,Company   Private,Computer Hardware & Software,90,153,121.5,Demandbase,CA,0,0,analyst,None
740,"Associate, Data Science, Internal Audit","Boston, MA",10000+ ,1856,Company   Private,Banks & Credit Unions,43,82,62.5,Santander,MA,1,0,data scientist,M
742,Senior LiDAR Data Scientist,"Orlando, FL",201 - 500 ,2012,Company   Private,Computer Hardware & Software,93,151,122,Luminar Technologies,FL,1,0,data scientist,M
743,Data Engineer,"Chantilly, VA",51 - 200 ,2004,Company   Private,IT Services,61,109,85,BRMi,VA,1,1,data engineer,None
744,Data Engineer,"Scottsdale, AZ",501 - 1000 ,2002,Company   Private,IT Services,42,79,60.5,IntraEdge,AZ,1,0,data engineer,None
745,Lead Data Scientist,"Burbank, CA",51 - 200 ,2009,Company   Private,Financial Analytics & Research,139,221,180,Zest AI,CA,1,0,data scientist,M
747,Big Data Engineer,"Chantilly, VA",1001 - 5000 ,2017,Company   Private,Aerospace & Defense,84,153,118.5,Peraton,VA,1,1,data engineer,None
748,Salesforce Analytics Consultant,"Chicago, IL",501 - 1000 ,1995,Company   Private,Enterprise Software & Network Solutions,52,81,66.5,"Emtec, Inc.",IL,1,0,data analitics,M
749,Managing Data Scientist/ML Engineer,"Boston, MA",1001 - 5000 ,1943,Company   Private,Consulting,81,134,107.5,PA Consulting,MA,0,1,data scientist,None
750,Senior Data Engineer,"Austin, TX",51 - 200 ,2010,Company   Private,Security Services,97,180,138.5,Praetorian,TX,1,0,data engineer,None
751,Staff Scientist  Upstream PD,"Rockville, MD",201 - 500 ,1961,Company   Private,Biotech & Pharmaceuticals,49,113,81,Advanced BioScience Laboratories,MD,0,0,other scientist,None
752,Data Engineering Analyst,"Bloomington, IL",1001 - 5000 ,1925,Company   Private,Insurance Carriers,44,73,58.5,COUNTRY Financial,IL,1,1,data engineer,M
753,Sr. Data Engineer,"Chicago, IL",1001 - 5000 ,2005,Company   Public,Transportation Management,75,140,107.5,Echo Global Logistics,IL,0,0,data engineer,None
754,"Scientist, Pharmacometrics","Cambridge, MA",501 - 1000 ,2008,Company   Public,Biotech & Pharmaceuticals,84,157,120.5,Agios Pharmaceuticals,MA,0,0,other scientist,M
755,Manager of Data Science,"San Francisco, CA",201 - 500 ,2007,Company   Private,Internet,40,87,63.5,Tapjoy,CA,1,0,data scientist,None
756,Scientist Manufacturing Pharma   Kentucky BioProcessing,"Owensboro, KY",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,68,139,103.5,Reynolds American,KY,0,0,other scientist,None
757,Software Engineer (Data Scientist/Software Engineer)   SISW   MG,"Fremont, CA",5001 - 10000 ,1981,Company   Public,Computer Hardware & Software,72,142,107,Mentor Graphics,CA,1,0,data scientist,None
759,Data Engineer,"San Diego, CA",501 - 1000 ,1972,Company   Private,Insurance Carriers,57,109,83,ICW Group,CA,0,0,data engineer,None
761,Lead Big Data Engineer,"San Francisco, CA",1001 - 5000 ,2007,Company   Private,Internet,121,203,162,Glassdoor,CA,1,1,data engineer,None
763,Product Engineer – Spatial Data Science and Statistical Analysis,"Redlands, CA",1001 - 5000 ,1969,Company   Private,Computer Hardware & Software,52,85,68.5,Esri,CA,1,0,data scientist,M
766,Sr Software Engineer (Data Scientist),"Westlake, OH",10000+ ,1978,Company   Public,Insurance Carriers,81,140,110.5,Assurant,OH,0,0,data scientist,None
768,Associate Research Scientist I (Protein Expression and Production),"Alameda, CA",501 - 1000 ,1994,Company   Public,Biotech & Pharmaceuticals,59,116,87.5,Exelixis,CA,0,0,other scientist,M
769,Senior Data Scientist Artificial Intelligence,"Richland, WA",1001 - 5000 ,1965,Government,Energy,60,101,80.5,PNNL,WA,0,0,data scientist,M
773,Analytics   Business Assurance Data Analyst,"Cedar Rapids, IA",501 - 1000 ,1992,Company   Private,Lending,31,55,43,GreatAmerica Financial Services,IA,0,0,analyst,None
776,"Associate Director/Director, Safety Scientist","Cambridge, MA",201 - 500 ,2003,Company   Public,Biotech & Pharmaceuticals,102,178,140,Acceleron Pharma,MA,0,0,director,P
777,"Director, Precision Medicine Clinical Biomarker Scientist","Cambridge, MA",10000+ ,1849,Company   Public,Biotech & Pharmaceuticals,136,208,172,Pfizer,MA,0,0,director,P
779,Data Analyst Senior,"Philadelphia, PA",5001 - 10000 ,1983,Company   Private,Insurance Carriers,48,85,66.5,AmeriHealth Caritas,PA,0,0,analyst,M
780,Senior Formulations Scientist II,"Alameda, CA",501 - 1000 ,1994,Company   Public,Biotech & Pharmaceuticals,71,129,100,Exelixis,CA,0,0,other scientist,P
781,Lead Data Engineer (Python),"San Francisco, CA",51 - 200 ,2006,Company   Private,Staffing & Outsourcing,66,123,94.5,Strategic Employment Partners,CA,1,0,data engineer,None
782,Data Science Manager,"San Francisco, CA",501 - 1000 ,2011,Company   Private,Health Care Services & Hospitals,171,272,221.5,Grand Rounds,CA,1,0,data scientist,None
783,Senior Data Scientist 4 Artificial Intelligence,"Seattle, WA",1001 - 5000 ,1965,Government,Energy,92,146,119,PNNL,WA,0,0,data scientist,M
784,Data Engineer,"Chicago, IL",201 - 500 ,1995,Company   Private,Consulting,65,126,95.5,"SPINS, LLC",IL,1,0,data engineer,M
785,"Director II, Data Science   GRS Predictive Analytics","Chicago, IL",10000+ ,1912,Company   Private,Insurance Carriers,150,239,194.5,Liberty Mutual Insurance,IL,1,0,data scientist,P
786,Medical Lab Scientist   MLT,"Omaha, NE",10000+ ,1996,Nonprofit Organization,Health Care Services & Hospitals,43,60,51.5,Catholic Health Initiatives,NE,0,0,other scientist,None
788,Senior Quantitative Analyst,"Jersey City, NJ",1001 - 5000 ,1973,Company   Private,Brokerage Services,118,228,173,DTCC,NJ,1,0,analyst,None
790,RESEARCH COMPUTER SCIENTIST   RESEARCH ENGINEER   SR. COMPUTER SCIENTIST   SOFTWARE DEVELOPMENT,"San Antonio, TX",1001 - 5000 ,1947,Nonprofit Organization,Research & Development,52,91,71.5,Southwest Research Institute,TX,1,0,other scientist,None
791,Senior Scientist   Toxicologist   Product Integrity (Stewardship),"Winston-Salem, NC",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,47,101,74,Reynolds American,NC,0,0,other scientist,M
794,Systems Engineer II   Data Analyst,"Huntsville, AL",10000+ ,1922,Company   Public,Aerospace & Defense,49,76,62.5,Raytheon,AL,0,0,analyst,None
795,Senior Research Analytical Scientist Non Targeted Analysis,"Durham, NC",1001 - 5000 ,1958,Nonprofit Organization,Research & Development,43,88,65.5,RTI International,NC,0,0,other scientist,P
797,Data Scientist,"Coraopolis, PA",10000+ ,1948,Company   Public,Sporting Goods Stores,61,109,85,DICK'S Sporting Goods - Corporate,PA,1,0,data scientist,M
799,Principal Data Scientist,"Gaithersburg, MD",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,113,182,147.5,AstraZeneca,MD,1,0,data scientist,P
802,Director Data Science,"Fort Lee, NJ",1001 - 5000 ,1989,Company   Private,Advertising & Marketing,124,199,161.5,TRANZACT,NJ,1,0,data scientist,None
803,Data Engineer,"Roanoke, VA",10000+ ,1899,Nonprofit Organization,Health Care Services & Hospitals,58,104,81,Carilion Clinic,VA,0,0,data engineer,M
804,Sr Data Analyst   IT,"Blue Bell, PA",1001 - 5000 ,2003,Other Organization,Biotech & Pharmaceuticals,52,93,72.5,United BioSource,PA,0,0,analyst,None
806,Senior Data Engineer,"San Francisco, CA",51 - 200 ,2008,Company   Public,Computer Hardware & Software,97,181,139,Figure Eight,CA,1,0,data engineer,None
807,Senior Data Engineer,"San Francisco, CA",201 - 500 ,2007,Company   Private,Internet,100,173,136.5,Tapjoy,CA,0,0,data engineer,None
808,Sr. Data Analyst,"New York, NY",201 - 500 ,2008,Company   Private,Internet,58,108,83,DoubleVerify,NY,1,0,analyst,None
809,Research Scientist or Senior Research Scientist   Computer Vision,"Cambridge, MA",51 - 200 ,1991,Subsidiary or Business Segment,Research & Development,81,161,121,Mitsubishi Electric Research Labs,MA,0,0,other scientist,P
810,Associate Machine Learning Engineer / Data Scientist May 2020 Undergrad,"New York, NY",1001 - 5000 ,2002,Company   Private,Travel Agencies,53,96,74.5,Fareportal,NY,1,0,data scientist,None
811,Data Analyst Chemist   Quality System Contractor,"San Francisco, CA",501 - 1000 ,2002,Company   Private,Beauty & Personal Accessories Stores,61,110,85.5,"Rodan and Fields, LLC",CA,0,0,analyst,None
812,Senior Scientist   Biostatistician,"Winston-Salem, NC",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,65,96,80.5,Reynolds American,NC,0,0,other scientist,M
815,Research Scientist / Principal Research Scientist   Multiphysical Systems,"Cambridge, MA",51 - 200 ,1991,Subsidiary or Business Segment,Research & Development,115,220,167.5,Mitsubishi Electric Research Labs,MA,0,0,other scientist,P
816,"Research Scientist, Machine Learning Department","Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,71,144,107.5,Software Engineering Institute,PA,1,0,machine learning engineer,P
817,Foundational Community Supports Data Analyst,"Seattle, WA",501 - 1000 ,1979,Nonprofit Organization,Social Assistance,32,57,44.5,DESC,WA,0,0,analyst,None
818,"Senior Health Data Analyst, Star Ratings","Glen Burnie, MD",1001 - 5000 ,1889,Company   Private,Health Care Services & Hospitals,79,136,107.5,Johns Hopkins Health Care,MD,0,0,analyst,M
820,Sr. Data Analyst,"Philadelphia, PA",201 - 500 ,1994,Company   Private,Health Care Services & Hospitals,50,89,69.5,Community Behavioral Health,PA,0,0,analyst,None
822,Quality Control Scientist III  Analytical Development,"Rockville, MD",201 - 500 ,1961,Company   Private,Biotech & Pharmaceuticals,48,113,80.5,Advanced BioScience Laboratories,MD,0,0,other scientist,None
823,"Clinical Scientist, Clinical Development","Watertown, MA",51 - 200 ,2008,Company   Private,Biotech & Pharmaceuticals,56,97,76.5,FORMA THERAPEUTICS,MA,0,0,other scientist,None
824,Software Engineer Staff Scientist: Human Language Technologies,"Cambridge, MD",10000+ ,1922,Company   Public,Aerospace & Defense,74,124,99,Raytheon,MD,1,0,other scientist,None
825,"Manager, Safety Scientist, Medical Safety & Risk Management","Cambridge, MA",501 - 1000 ,2008,Company   Public,Biotech & Pharmaceuticals,68,125,96.5,Agios Pharmaceuticals,MA,0,0,Data scientist project manager,None
826,"Assistant Director/Director, Office of Data Science","Boston, MA",10000+ ,1912,Company   Private,Insurance Carriers,39,67,53,Liberty Mutual Insurance,MA,0,0,data scientist,M
828,Senior Risk Data Scientist,"Palo Alto, CA",501 - 1000 ,2006,Company   Public,Financial Transaction Processing,107,172,139.5,Bill.com,CA,0,0,data scientist,M
829,Data Scientist in Artificial Intelligence Early Career,"Richland, WA",1001 - 5000 ,1965,Government,Energy,49,85,67,Pacific Northwest National Laboratory,WA,0,0,data scientist,M
830,Consultant   Analytics Consulting,"Hartford, CT",10000+ ,1981,Company   Public,IT Services,54,71,62.5,Infosys,CT,0,0,data analitics,None
831,Scientist   CVRM Metabolism   in vivo pharmacology,"Gaithersburg, MD",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,61,123,92,AstraZeneca,MD,0,0,other scientist,None
836,Data Engineer,"Orange, CA",501 - 1000 ,2013,Company   Private,Health Care Services & Hospitals,65,124,94.5,Alignment Healthcare,CA,1,1,data engineer,M
837,Data Scientist,"Fort Lee, NJ",1001 - 5000 ,1989,Company   Private,Advertising & Marketing,87,141,114,TRANZACT,NJ,1,1,data scientist,None
838,Data Scientist,"New York, NY",51 - 200 ,2012,Company   Private,Education Training Services,56,95,75.5,ExecOnline,NY,1,1,data scientist,None
840,Machine Learning Engineer,"Fort Belvoir, VA",501 - 1000 ,1954,Company   Public,Aerospace & Defense,62,112,87,Mteq,VA,1,0,machine learning engineer,None
841,Data Scientist,"Silver Spring, MD",201 - 500 ,2006,Company   Private,IT Services,64,108,86,Brillient,MD,1,0,data scientist,M
848,Senior Scientist (Neuroscience),"Marlborough, MA",1001 - 5000 ,2010,Company   Private,Biotech & Pharmaceuticals,109,200,154.5,Sunovion,MA,1,0,other scientist,P
851,Marketing Data Analyst,"Highland, CA",1001 - 5000 ,1986,Company   Private,Gambling,35,62,48.5,San Manuel Casino,CA,0,0,analyst,M
852,Machine Learning Engineer   Regulatory,"Lenexa, KS",501 - 1000 ,1973,Company   Public,Stock Exchanges,61,113,87,Cboe Global Markets,KS,1,1,machine learning engineer,None
853,Data Engineer,"Houston, TX",501 - 1000 ,2002,Company   Private,IT Services,55,105,80,Trace3,TX,1,1,data engineer,None
854,Medical Laboratory Scientist,"Burleson, TX",1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,37,52,44.5,Texas Health Huguley Hospital,TX,0,0,other scientist,None
855,Principal Data Scientist,"San Jose, CA",10000+ ,1939,Company   Public,Aerospace & Defense,135,211,173,Northrop Grumman,CA,1,0,data scientist,M
857,Data Engineer,"Phoenix, AZ",501 - 1000 ,1997,Company   Private,Biotech & Pharmaceuticals,57,80,68.5,Saama Technologies Inc,AZ,1,0,data engineer,None
858,"Associate Principal Scientist, Pharmacogenomics","Gaithersburg, MD",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,63,127,95,AstraZeneca,MD,0,0,other scientist,P
859,Data Scientist   Systems Engineering,"Bedford, MA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,50,89,69.5,MITRE,MA,1,0,data scientist,None
860,Senior Data Scientist,"Cincinnati, OH",201 - 500 ,1885,Subsidiary or Business Segment,Metals Brokers,82,132,107,The David J. Joseph Company,OH,1,0,data scientist,M
861,Data Scientist SR,"Charlottesville, VA",501 - 1000 ,2010,Company   Private,IT Services,85,139,112,The Buffalo Group,VA,1,1,data scientist,M
863,Data Scientist,"Washington, DC",51 - 200 ,1997,Company   Private,Consulting,72,121,96.5,CompQsoft,DC,1,0,data scientist,M
866,"Associate Director, Platform and DevOps  Data Engineering and Aritifical Intelligence","Cambridge, MA",10000+ ,1781,Company   Public,Biotech & Pharmaceuticals,113,196,154.5,Takeda Pharmaceuticals,MA,0,1,data engineer,M
867,Data Scientist,"New York, NY",201 - 500 ,2011,Company   Private,Health Care Services & Hospitals,69,121,95,"Remedy BPCI Partners, LLC.",NY,1,0,data scientist,None
868,Data Scientist,"New York, NY",501 - 1000 ,2007,Company   Private,Consumer Product Rental,71,124,97.5,Strategic Financial Solutions,NY,1,0,data scientist,None
869,Senior Data Scientist,"Chicago, IL",201 - 500 ,2008,Company   Private,Consulting,97,160,128.5,Maven Wave Partners,IL,1,1,data scientist,None
870,Senior Research Scientist Machine Learning,"Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,81,167,124,Software Engineering Institute,PA,0,0,machine learning engineer,P
871,Principal Data Scientist,"San Francisco, CA",501 - 1000 ,2006,Subsidiary or Business Segment,Enterprise Software & Network Solutions,150,238,194,The Climate Corporation,CA,0,0,data scientist,None
875,Clinical Laboratory Scientist,"Vail, CO",501 - 1000 ,1966,Hospital,Health Care Services & Hospitals,49,81,65,Vail Health,CO,0,0,other scientist,None
878,Data Scientist,"New York, NY",201 - 500 ,2005,Company   Public,Advertising & Marketing,77,132,104.5,Crossix Solutions,NY,1,0,data scientist,M
879,Data Scientist,"Phoenix, AZ",201 - 500 ,1969,Company   Private,IT Services,51,88,69.5,Solugenix Corporation,AZ,1,0,data scientist,None
880,Data Scientist,"Irvine, CA",10000+ ,1997,Company   Private,Colleges & Universities,101,141,121,West Coast University,CA,1,0,data scientist,M
881,Data Engineer   Consultant (Charlotte Based),"Charlotte, NC",201 - 500 ,2008,Company   Private,IT Services,59,112,85.5,Clarity Insights,NC,1,1,data engineer,None
883,Data Engineer,"Aliso Viejo, CA",1001 - 5000 ,1997,Company   Public,Video Games,79,147,113,NCSOFT,CA,1,0,data engineer,None
884,Data Scientist (Warehouse Automation),"San Francisco, CA",201 - 500 ,2005,Subsidiary or Business Segment,Consumer Products Manufacturing,79,127,103,SoftBank Robotics,CA,1,0,data scientist,M
886,"Scientist, Immuno Oncology","Cambridge, MA",10000+ ,1830,Company   Public,Biotech & Pharmaceuticals,62,119,90.5,GSK,MA,0,0,other scientist,M
887,Senior Data Scientist,"Los Angeles, CA",51 - 200 ,2008,Company   Private,Computer Hardware & Software,119,187,153,Factual,CA,1,0,data scientist,None
892,Jr. Data Scientist,"McLean, VA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,81,132,106.5,MITRE,VA,1,1,data scientist,None
893,Senior Data Scientist,"Ann Arbor, MI",51 - 200 ,2011,Company   Private,Computer Hardware & Software,120,140,130,SkySync,MI,0,0,data scientist,M
895,Products Data Analyst II,"Dublin, CA",1001 - 5000 ,1988,Company   Public,Consulting,90,157,123.5,TriNet,CA,0,0,analyst,M
896,Data Architect / Data Modeler,"New York, NY",1001 - 5000 ,1999,Company   Public,Enterprise Software & Network Solutions,63,110,86.5,Medidata Solutions,NY,0,0,data modeler,M
897,Analytics Manager   Data Mart,"Scotts Valley, CA",501 - 1000 ,1996,Nonprofit Organization,Health Care Services & Hospitals,42,86,64,Central California Alliance for Health,CA,0,0,Data scientist project manager,None
898,Lead Data Analyst,"New York, NY",201 - 500 ,2010,Company   Private,Internet,32,62,47,Signpost,NY,0,0,analyst,None
899,Data Science Engineer   Mobile,"San Jose, CA",10000+ ,1982,Company   Public,Computer Hardware & Software,116,208,162,Adobe,CA,1,1,data scientist,M
900,Senior Data Scientist Oncology,"Gaithersburg, MD",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,107,173,140,AstraZeneca,MD,1,0,data scientist,P
902,Sr. Data Engineer   Contract to Hire (Java),"Knoxville, TN",10000+ ,1958,Company   Private,Gas Stations,69,127,98,Pilot Flying J Travel Centers LLC,TN,1,0,data engineer,M
904,Senior Data Scientist   R&D Oncology,"New York, NY",10000+ ,1913,Company   Public,Biotech & Pharmaceuticals,102,172,137,AstraZeneca,NY,1,0,data scientist,P
907,Data Engineer,"Denver, CO",501 - 1000 ,1915,Nonprofit Organization,Insurance Carriers,74,124,99,Pinnacol Assurance,CO,1,0,data engineer,M
909,Food Scientist   Developer,"Milwaukee, WI",501 - 1000 ,1964,Company   Private,Food & Beverage Manufacturing,40,68,54,Palermo's Pizza,WI,0,0,other scientist,None
910,Senior Data Engineer,"Franklin, TN",1001 - 5000 ,2004,Company   Private,Health Care Services & Hospitals,76,142,109,Equian LLC,TN,0,1,data engineer,None
911,Data Engineer,"Rockville, MD",201 - 500 ,1999,Company   Private,IT Services,76,142,109,MetroStar Systems,MD,0,0,data engineer,M
912,Senior Data Scientist,"Natick, MA",1001 - 5000 ,1984,Company   Private,Computer Hardware & Software,108,171,139.5,MathWorks,MA,1,0,data scientist,M
913,"Director II, Data Science   GRM Actuarial","Chicago, IL",10000+ ,1912,Company   Private,Insurance Carriers,202,306,254,Liberty Mutual Insurance,IL,1,0,data scientist,M
914,Machine Learning Engineer,"New York, NY",1001 - 5000 ,1975,Company   Private,Computer Hardware & Software,91,159,125,Information Builders,NY,1,0,machine learning engineer,M
916,"Sr Expert Data Science, Advanced Visual Analytics (Associate level)","Cambridge, MA",10000+ ,1996,Company   Public,Biotech & Pharmaceuticals,80,133,106.5,Novartis,MA,1,0,data scientist,M
919,MED TECH/LAB SCIENTIST  SOUTH COASTAL LAB,"Millville, DE",1001 - 5000 ,1935,Nonprofit Organization,Health Care Services & Hospitals,43,70,56.5,Beebe Healthcare,DE,0,0,other scientist,None
920,"Scientist, Molecular/Cellular Biologist","South San Francisco, CA",201 - 500 ,2012,Subsidiary or Business Segment,Biotech & Pharmaceuticals,49,97,73,Audentes Therapeutics,CA,0,0,other scientist,P
921,Staff Scientist Downstream Process Development,"Rockville, MD",201 - 500 ,1961,Company   Private,Biotech & Pharmaceuticals,49,113,81,Advanced BioScience Laboratories,MD,0,0,other scientist,P
926,Scientist   Analytical Services,"Winston-Salem, NC",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,65,134,99.5,Reynolds American,NC,0,0,other scientist,None
928,"Associate Scientist / Sr. Associate Scientist, Antibody Discovery","South San Francisco, CA",501 - 1000 ,2006,Company   Private,Biotech & Pharmaceuticals,59,125,92,23andMe,CA,0,0,other scientist,M
929,Associate Data Analyst  Graduate Development Program,"Richfield, OH",501 - 1000 ,1989,Company   Private,Insurance Carriers,32,59,45.5,National Interstate,OH,0,0,analyst,None
930,Sr. Data Engineer,"Indianapolis, IN",51 - 200 ,1996,Company   Private,Consulting,87,158,122.5,Moser Consulting,IN,1,1,data engineer,None
931,Clinical Data Analyst,"Tampa, FL",1001 - 5000 ,1977,Subsidiary or Business Segment,Enterprise Software & Network Solutions,27,48,37.5,Greenway Health,FL,0,0,analyst,M
932,IT Associate Data Analyst,"Worcester, MA",5001 - 10000 ,1852,Company   Public,Insurance Carriers,39,69,54,The Hanover Insurance Group,MA,0,0,analyst,None
933,Business Data Analyst,"New York, NY",1001 - 5000 ,2002,Company   Private,Travel Agencies,36,71,53.5,Fareportal,NY,1,0,analyst,M
934,Senior Insurance Data Scientist,"Chicago, IL",5001 - 10000 ,1968,Company   Public,Financial Analytics & Research,107,173,140,TransUnion,IL,1,0,data scientist,None
935,Senior Data Science Systems Engineer,"Hampton, VA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,56,99,77.5,MITRE,VA,0,0,data scientist,P
938,Senior Scientist   Regulatory Submissions,"Winston-Salem, NC",5001 - 10000 ,1875,Company   Private,Consumer Products Manufacturing,80,155,117.5,Reynolds American,NC,0,0,other scientist,M
939,Scientist   Biomarker and Flow Cytometry,"San Diego, CA",501 - 1000 ,2006,Company   Private,Biotech & Pharmaceuticals,43,98,70.5,Crown Bioscience,CA,0,0,other scientist,M
940,Revenue Analytics Manager,"San Francisco, CA",51 - 200 ,2011,Company   Private,Computer Hardware & Software,45,78,61.5,HOVER,CA,0,0,Data scientist project manager,None
941,Sr. Scientist Method Development,"Marietta, GA",1001 - 5000 ,2015,Company   Private,Biotech & Pharmaceuticals,50,110,80,Q2 Solutions,GA,0,0,other scientist,None
942,"Associate Scientist, LC/MS Biologics","Ithaca, NY",1001 - 5000 ,2015,Company   Private,Biotech & Pharmaceuticals,44,96,70,Q2 Solutions,NY,0,0,other scientist,None
944,IT   Data Engineer II,"Quincy, MA",1001 - 5000 ,1988,Company   Private,Insurance Carriers,61,119,90,Arbella Insurance,MA,0,1,data engineer,None
946,Senior Data Analyst,"San Francisco, CA",51 - 200 ,2008,Company   Public,Computer Hardware & Software,99,178,138.5,Life360,CA,1,0,analyst,None
947,Data Science Project Manager,"Boston, MA",5001 - 10000 ,1851,Company   Private,Insurance Carriers,37,100,68.5,MassMutual,MA,0,0,data scientist,M
948,Data Engineer,"San Francisco, CA",201 - 500 ,2011,Company   Private,Internet,62,113,87.5,Fivestars,CA,1,0,data engineer,P
949,"Principal, Data Science   Advanced Analytics","Plymouth Meeting, PA",10000+ ,2017,Company   Public,Biotech & Pharmaceuticals,86,137,111.5,IQVIA,PA,0,0,data scientist,M
950,"Sr Scientist, Immuno Oncology   Oncology","Cambridge, MA",10000+ ,1830,Company   Public,Biotech & Pharmaceuticals,58,111,84.5,GSK,MA,0,0,other scientist,M
951,Senior Data Engineer,"Nashville, TN",1001 - 5000 ,2006,Company   Public,Internet,72,133,102.5,Eventbrite,TN,1,1,data engineer,None
952,"Project Scientist   Auton Lab, Robotics Institute","Pittsburgh, PA",501 - 1000 ,1984,College / University,Colleges & Universities,56,91,73.5,Software Engineering Institute,PA,0,0,other scientist,P
955,Research Scientist – Security and Privacy,"Beavercreek, OH",501 - 1000 ,1967,Nonprofit Organization,Federal Agencies,61,126,93.5,Riverside Research Institute,OH,1,0,other scientist,M
